"session","bird","n_resp_left","n_resp_right","n_reinf_left","n_reinf_right"
"s15","p510",2071,639,65,19
"s16","p510",1118,435,45,10
"s17","p510",632,436,11,33
"s18","p510",495,685,12,20
"s19","p510",389,819,10,29
"s20","p510",383,871,13,30
"s21","p510",502,753,8,29
"s22","p510",487,759,15,32
"s23","p510",485,910,12,32
"s24","p510",366,790,7,23
"s25","p510",524,1309,14,50
"s26","p510",534,945,12,31
"s27","p510",1515,997,60,13
"s28","p510",1396,656,55,11
"s29","p510",1054,735,47,16
"s30","p510",1413,1242,57,23
"s31","p510",739,660,34,17
"s32","p510",1623,1099,65,19
"s33","p510",1899,1227,68,20
"s34","p510",1371,1009,42,14
"s35","p510",1311,986,44,11
"s36","p510",1368,913,34,14
"s37","p510",1003,1593,17,38
"s38","p510",645,1033,11,34
"s39","p510",489,1057,7,29
"s40","p510",486,1245,11,35
"s41","p510",604,1390,13,31
"s42","p510",549,1133,7,50
"s43","p510",440,1085,7,24
"s44","p510",625,1201,15,39
"s45","p510",751,1019,16,33
"s46","p510",648,837,13,40
"s47","p510",908,1228,10,37
"s48","p510",1096,1252,18,42
"s49","p510",1087,1322,23,42
"s50","p510",1003,1272,13,40
"s51","p510",907,1105,15,33
"s52","p510",834,1127,15,43
"s53","p510",604,1104,9,31
"s54","p510",893,822,27,15
"s55","p510",1954,1158,55,22
"s56","p510",1338,830,40,16
"s57","p510",1654,1136,52,26
"s58","p510",816,595,29,4
"s59","p510",1126,930,44,12
"s60","p510",1178,806,49,8
"s61","p510",854,686,52,12
"s62","p510",965,985,35,14
"s63","p510",1317,1119,51,17
"s64","p510",1350,1094,58,26
"s65","p510",1034,880,55,15
"s66","p510",816,494,37,12
"s67","p510",1173,774,52,18
"s68","p510",898,612,34,13
"s69","p510",623,448,33,11
"s70","p510",692,449,37,16
"s71","p510",991,625,50,20
"s72","p510",1329,836,56,15
"s73","p510",1060,663,47,16
"s74","p510",102,59,12,4
"s75","p510",643,315,26,6
"s76","p510",591,640,9,17
"s77","p510",767,844,22,37
"s78","p510",649,734,11,35
"s79","p510",830,835,15,28
"s80","p510",621,687,15,27
"s81","p510",624,741,15,36
"s82","p510",513,683,8,28
"s83","p510",621,907,20,43
"s84","p510",693,1002,15,34
"s85","p510",666,958,21,32
"s86","p510",334,978,8,47
"s87","p510",415,1114,9,41
"s88","p510",387,955,13,27
"s89","p510",393,1022,9,37
"s90","p510",494,926,12,30
"s91","p510",517,980,11,42
"s92","p510",359,893,9,29
"s93","p510",662,1266,12,53
"s94","p510",477,940,12,34
"s95","p510",464,920,15,32
"s96","p510",513,1256,6,37
"s97","p510",592,1231,13,47
"s98","p510",463,889,13,34
"s99","p510",664,1115,13,31
"s100","p510",340,920,4,32
"s101","p510",507,1075,16,35
"s102","p510",598,1014,25,17
"s103","p510",502,913,18,20
"s104","p510",527,1055,22,24
"s105","p510",677,962,18,22
"s106","p510",638,887,19,24
"s107","p510",614,788,24,19
"s108","p510",471,877,17,16
"s109","p510",588,830,22,23
"s110","p510",610,869,15,21
"s111","p510",696,892,19,21
"s112","p510",724,929,24,23
"s113","p510",793,774,19,16
"s114","p510",616,733,18,13
"s115","p510",587,749,19,16
"s116","p510",1378,1342,29,39
"s117","p510",926,1186,22,34
"s118","p510",1509,1133,61,2
"s119","p510",1248,617,61,7
"s120","p510",1639,660,69,1
"s121","p510",1189,1670,10,80
"s122","p510",971,869,54,9
"s123","p510",1645,1121,57,14
"s124","p510",817,1124,16,34
"s125","p510",916,595,57,5
"s126","p510",730,1776,3,69
"s127","p510",994,793,49,11
"s128","p510",1449,1121,61,25
"s129","p510",1264,1567,33,72
"s130","p510",646,983,13,44
"s131","p510",579,1092,11,47
"s132","p510",567,1336,13,44
"s133","p510",700,1275,12,42
"s134","p510",683,1124,19,40
"s135","p510",1076,927,51,17
"s136","p510",977,1255,18,43
"s137","p510",1162,777,64,4
"s138","p510",524,882,6,48
"s139","p510",630,1279,5,53
"s140","p510",704,1517,11,58
"s141","p510",1934,1168,70,4
"s142","p510",1469,656,77,6
"s143","p510",1241,610,61,8
"s144","p510",1449,577,80,12
"s145","p510",999,1280,24,59
"s146","p510",1155,1731,25,52
"s147","p510",1446,847,79,11
"s148","p510",1225,286,75,5
"s149","p510",1854,647,82,12
"s150","p510",548,1199,8,62
"s151","p510",1307,695,78,9
"s152","p510",1326,589,75,9
"s153","p510",798,1256,17,46
"s154","p510",724,1241,17,52
"s155","p510",835,1445,27,60
"s156","p510",1710,1000,67,14
"s157","p510",950,1402,14,58
"s158","p510",434,835,8,42
"s159","p510",961,473,72,8
"s160","p510",318,667,11,43
"s161","p510",686,298,38,20
"s162","p510",1561,1412,44,35
"s163","p510",1351,1258,51,28
"s164","p510",1116,1988,18,68
"s165","p510",925,1857,16,58
"s166","p510",830,1931,17,79
"s167","p510",1199,1178,31,21
"s168","p510",1649,1308,62,32
"s169","p510",1193,1063,44,23
"s170","p510",679,1365,6,50
"s171","p510",284,1239,6,54
"s172","p510",770,1940,14,84
"s173","p510",455,1729,8,88
"s174","p510",796,1728,11,67
"s175","p510",484,1478,4,70
"s176","p510",416,1714,5,61
"s177","p510",259,1229,5,48
"s178","p510",1205,720,68,4
"s179","p510",940,378,48,2
"s180","p510",565,1341,12,40
"s01","p530",92,2,5,1
"s02","p530",599,140,41,8
"s03","p530",372,115,23,9
"s04","p530",753,55,50,10
"s05","p530",851,36,34,11
"s06","p530",770,129,21,13
"s07","p530",747,71,46,10
"s08","p530",1165,35,50,11
"s09","p530",1223,8,46,4
"s10","p530",1348,0,60,0
"s11","p530",1304,2,45,2
"s12","p530",2214,5,56,3
"s13","p530",1448,1,30,1
"s14","p530",1407,44,40,8
"s15","p530",1514,34,50,6
"s16","p530",1078,60,27,7
"s17","p530",620,419,9,35
"s18","p530",455,333,6,26
"s19","p530",467,613,8,40
"s20","p530",397,631,9,30
"s21","p530",396,865,11,45
"s22","p530",204,705,9,34
"s23","p530",262,990,13,40
"s24","p530",156,933,15,42
"s25","p530",168,662,8,31
"s26","p530",157,645,10,27
"s27","p530",405,869,43,25
"s28","p530",753,789,48,12
"s29","p530",327,367,29,14
"s30","p530",762,486,48,25
"s31","p530",351,190,38,14
"s32","p530",929,452,51,21
"s33","p530",589,379,34,14
"s34","p530",505,358,33,15
"s35","p530",802,576,46,23
"s36","p530",578,361,42,10
"s37","p530",384,455,16,30
"s38","p530",275,564,8,37
"s39","p530",227,387,5,29
"s40","p530",121,301,11,41
